K	alpha1	lambda1	coph	correlation	nfactor	optimal_run	optimal_obj
11	40	100	0.92209506492289	3.44959219040295	9.56666666666667	24	44407.515931252
13	90	70	0.92249317862145	3.13088696411778	8	20	51235.1979982865
19	90	90	0.922591448545347	3.02658790610746	7.26666666666667	2	55172.6053848311
16	70	70	0.923163852332778	3.33901361374947	9.2	19	47354.8076495011
10	50	90	0.923223692979641	3.31839504401563	8.86666666666667	29	46356.5656437208
10	90	40	0.923511303176753	3.31421782332481	8.9	6	44068.1612320952
19	50	90	0.923883551435526	3.53110733108504	10.2	21	45139.9723654073
11	100	10	0.92401064323442	3.49826951154129	10.7666666666667	13	30215.6553879168
10	70	90	0.924185503992069	3.13020966364417	7.8	30	51885.5433881298
11	80	80	0.924206148405549	3.14770921024352	8	20	52098.0252746021
10	100	30	0.924464386230536	3.30718339386547	8.96666666666667	9	42155.1596765282
14	70	20	0.924605363729714	3.80987749662311	12.8666666666667	13	29195.58412815
12	100	40	0.924749380731571	3.30257498565835	9.03333333333333	1	44911.953717286
19	100	70	0.924966977547644	3.10436086424185	7.76666666666667	28	52648.1552495059
11	60	20	0.925506264913129	3.52503560587765	11	11	31543.333527117
10	100	10	0.925560679910108	3.34343326742938	9.76666666666667	13	31769.7665971172
10	30	90	0.926784925579322	3.44564827611685	9.73333333333333	25	40290.7150410566
12	60	70	0.926993920286228	3.40283665955414	9.56666666666667	27	44760.938994574
12	40	100	0.927411677878282	3.46424273681582	9.76666666666667	28	44339.3785134938
11	100	40	0.927458739260552	3.27863080723165	8.73333333333333	11	44970.0971056616
15	60	60	0.9274840713334	3.50919745868906	10.2333333333333	14	42322.9022771097
14	50	100	0.927542466376804	3.41236698573629	9.36666666666667	16	47712.4114461095
12	20	80	0.927543254972475	3.77796007439453	12	10	33256.3635042068
18	100	50	0.927728597137647	3.25869578316329	8.73333333333333	26	47744.1127945144
12	50	100	0.9278265190824	3.36344353029667	9.2	6	47646.5174247427
11	50	80	0.927934285875065	3.43360115258805	9.66666666666667	27	44707.8981988866
18	100	70	0.928049176751672	3.09429637373779	7.7	7	52807.8895642839
18	100	80	0.928064725026165	2.97045780362592	7	30	55097.9327345492
20	80	70	0.928506751356403	3.31043417072824	8.93333333333333	21	49307.0295767987
12	60	60	0.928808708965823	3.44924886947003	9.86666666666667	16	43061.6053736387
19	60	70	0.929541969154434	3.49901343660626	10.0333333333333	22	44265.3046606693
12	30	60	0.929658636558975	3.73023741712462	11.8	12	34312.7521605295
12	90	40	0.929676260779021	3.42557545898559	9.76666666666667	17	42728.1525978597
